Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2015-04-29,Apple Health,3549.0,0.0,2733.0,0.0
2015-04-30,Apple Health,6877.0,0.0,5220.0,0.0
2015-05-01,Apple Health,7755.0,0.0,6339.0,0.0
2015-05-02,Apple Health,8728.0,0.0,6455.0,0.0
2015-05-03,Apple Health,113.0,0.0,146.0,0.0
2015-05-04,Apple Health,7490.0,0.0,5960.0,0.0
2015-05-05,Apple Health,5881.0,0.0,4214.0,0.0
2015-05-06,Apple Health,4483.0,0.0,3341.0,0.0
2015-05-07,Apple Health,6798.0,0.0,5235.0,0.0
2015-05-08,Apple Health,5790.0,0.0,4289.0,0.0
2015-05-09,Apple Health,44.0,0.0,32.0,0.0
2015-05-10,Apple Health,4755.0,0.0,3645.0,0.0
2015-05-11,Apple Health,2201.0,0.0,1606.0,0.0
2015-05-12,Apple Health,7128.0,0.0,5033.0,0.0
2015-05-13,Apple Health,8096.0,0.0,6601.0,0.0
2015-05-14,Apple Health,14744.0,0.0,12061.0,0.0
2015-05-15,Apple Health,6606.0,0.0,5152.0,0.0
2015-05-16,Apple Health,134.0,0.0,159.0,0.0
2015-05-17,Apple Health,413.0,0.0,338.0,0.0
2015-05-18,Apple Health,6632.0,0.0,4964.0,0.0
2015-05-19,Apple Health,5592.0,0.0,3910.0,0.0
2015-05-20,Apple Health,9785.0,0.0,6985.0,0.0
2015-05-21,Apple Health,9917.0,0.0,7827.0,0.0
2015-05-22,Apple Health,5268.0,0.0,3663.0,0.0
2015-05-23,Apple Health,132.0,0.0,153.0,0.0
2015-05-24,Apple Health,2491.0,0.0,2148.0,0.0
2015-05-25,Apple Health,255.0,0.0,241.0,0.0
2015-05-26,Apple Health,7433.0,0.0,5592.0,0.0
2015-05-27,Apple Health,5249.0,0.0,3982.0,0.0
2015-05-28,Apple Health,9959.0,0.0,7012.0,0.0
2015-05-29,Apple Health,8303.0,0.0,5997.0,0.0
2015-05-30,Apple Health,2181.0,0.0,1716.0,0.0
2015-05-31,Apple Health,2019.0,0.0,1672.0,0.0
2015-06-01,Apple Health,3197.0,0.0,2481.0,0.0
2015-06-02,Apple Health,6077.0,0.0,4399.0,0.0
2015-06-03,Apple Health,4154.0,0.0,3010.0,0.0
2015-06-04,Apple Health,3838.0,0.0,2819.0,0.0
2015-06-05,Apple Health,6339.0,0.0,4482.0,0.0
2015-06-06,Apple Health,2563.0,0.0,2081.0,0.0
2015-06-07,Apple Health,2210.0,0.0,1583.0,0.0
2015-06-08,Apple Health,5567.0,0.0,3928.0,0.0
2015-06-09,Apple Health,4482.0,0.0,3068.0,0.0
2015-06-10,Apple Health,6218.0,0.0,4535.0,0.0
2015-06-11,Apple Health,4499.0,0.0,3689.0,0.0
2015-06-12,Apple Health,2954.0,0.0,2204.0,0.0
2015-06-13,Apple Health,8012.0,0.0,5945.0,0.0
2015-06-14,Apple Health,7869.0,0.0,6424.0,0.0
2015-06-15,Apple Health,2118.0,0.0,1665.0,0.0
2015-06-16,Apple Health,3475.0,0.0,2599.0,0.0
2015-06-17,Apple Health,3105.0,0.0,2388.0,0.0
2015-06-18,Apple Health,11538.0,0.0,8167.0,0.0
2015-06-19,Apple Health,5035.0,0.0,4141.0,0.0
2015-06-20,Apple Health,321.0,0.0,270.0,0.0
2015-06-21,Apple Health,6436.0,0.0,5181.0,0.0
2015-06-22,Apple Health,10200.0,0.0,7773.0,0.0
2015-06-23,Apple Health,9401.0,0.0,6511.0,0.0
2015-06-24,Apple Health,6720.0,0.0,4936.0,0.0
2015-06-25,Apple Health,3997.0,0.0,3140.0,0.0
2015-06-26,Apple Health,3695.0,179.2,2759.0,0.0
2015-06-27,Apple Health,4480.0,289.9,3583.0,0.0
2015-06-28,Apple Health,1611.0,136.6,1319.0,0.0
2015-06-29,Apple Health,6194.0,382.3,5128.0,0.0
2015-06-30,Apple Health,5944.0,343.9,4675.0,0.0
2015-07-01,Apple Health,5721.0,409.8,4584.0,0.0
2015-07-02,Apple Health,5656.0,335.1,4482.0,0.0
2015-07-03,Apple Health,6099.0,379.3,4863.0,0.0
2015-07-04,Apple Health,5530.0,217.4,3878.0,0.0
2015-07-05,Apple Health,682.0,20.0,540.0,0.0
2015-07-06,Apple Health,8475.0,464.5,6489.0,0.0
2015-07-07,Apple Health,7127.0,354.3,5367.0,0.0
2015-07-08,Apple Health,8346.0,495.3,6585.0,0.0
2015-07-09,Apple Health,7198.0,418.6,5529.0,0.0
2015-07-10,Apple Health,6777.0,387.3,5185.0,0.0
2015-07-11,Apple Health,8665.0,352.0,6421.0,0.0
2015-07-12,Apple Health,2521.0,0.0,2313.0,0.0
2015-07-13,Apple Health,2072.0,118.5,1774.0,0.0
2015-07-28,Apple Health,389.0,42.8,347.0,0.0
2015-07-29,Apple Health,6767.0,381.6,5965.0,0.0
2015-07-30,Apple Health,4531.0,248.0,3947.0,0.0
2015-07-31,Apple Health,4739.0,0.0,3558.0,0.0
2015-08-01,Apple Health,2701.0,62.3,2238.0,0.0
2015-08-02,Apple Health,139.0,0.0,130.0,0.0
2015-08-03,Apple Health,5762.0,331.9,4986.0,0.0
2015-08-04,Apple Health,4936.0,365.6,4488.0,0.0
2015-08-05,Apple Health,4883.0,257.9,4250.0,0.0
2015-08-06,Apple Health,3661.0,230.5,3468.0,0.0
2015-08-07,Apple Health,4396.0,266.2,4017.0,0.0
2015-08-08,Apple Health,1452.0,140.0,1222.0,0.0
2015-08-09,Apple Health,1819.0,77.9,1527.0,0.0
2015-08-10,Apple Health,5360.0,343.0,4983.0,0.0
2015-08-11,Apple Health,4529.0,264.0,4067.0,0.0
2015-08-12,Apple Health,7953.0,396.8,6750.0,0.0
2015-08-13,Apple Health,6951.0,404.4,6076.0,0.0
2015-08-14,Apple Health,13145.0,680.0,11420.0,0.0
2015-08-15,Apple Health,14685.0,718.1,12637.0,0.0
2015-08-16,Apple Health,4382.0,229.7,3945.0,0.0
2015-08-17,Apple Health,1739.0,130.9,1633.0,0.0
2015-08-18,Apple Health,6266.0,494.3,5723.0,0.0
2015-08-19,Apple Health,7204.0,293.6,6145.0,0.0
2015-08-20,Apple Health,6492.0,327.4,5426.0,0.0
2015-08-21,Apple Health,6804.0,347.4,5775.0,0.0
2015-08-22,Apple Health,112.0,0.0,106.0,0.0
2015-08-23,Apple Health,212.0,0.0,239.0,0.0
2015-08-24,Apple Health,8696.0,432.1,7124.0,0.0
2015-08-25,Apple Health,3706.0,208.6,3179.0,0.0
2015-08-26,Apple Health,7087.0,365.8,5902.0,0.0
2015-08-27,Apple Health,7434.0,376.0,6445.0,0.0
2015-08-28,Apple Health,5427.0,293.8,4528.0,0.0
2015-08-29,Apple Health,9793.0,285.2,7919.0,0.0
2015-08-30,Apple Health,471.0,0.0,402.0,0.0
2015-08-31,Apple Health,8402.0,399.1,6764.0,0.0
2015-09-01,Apple Health,4778.0,316.5,4411.0,0.0
2015-09-02,Apple Health,5384.0,294.9,4583.0,0.0
2015-09-03,Apple Health,7395.0,372.8,6293.0,0.0
2015-09-04,Apple Health,6438.0,305.1,5291.0,0.0
2015-09-05,Apple Health,316.0,0.0,260.0,0.0
2015-09-06,Apple Health,100.0,0.0,92.0,0.0
2015-09-07,Apple Health,4290.0,345.8,4381.0,0.0
2015-09-08,Apple Health,8546.0,400.6,7392.0,0.0
2015-09-09,Apple Health,5460.0,45.6,3969.0,0.0
2015-09-10,Apple Health,10269.0,592.6,9185.0,0.0
2015-09-11,Apple Health,9213.0,481.0,7899.0,0.0
2015-09-12,Apple Health,6184.0,306.8,5473.0,0.0
2015-09-13,Apple Health,160.0,0.0,169.0,0.0
2015-09-14,Apple Health,4498.0,276.9,3938.0,0.0
2015-09-15,Apple Health,9256.0,442.1,7925.0,0.0
