StartTime,EndTime,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-03-27 00:45:00,2025-03-27 01:00:00,Apple Health,90.0,6.4,68.8,6.0
2025-03-27 01:00:00,2025-03-27 01:15:00,Apple Health,189.0,10.0,137.2,9.0
2025-03-27 01:30:00,2025-03-27 01:45:00,Apple Health,2.0,2.6,1.4,2.0
2025-03-27 07:30:00,2025-03-27 07:45:00,Apple Health,10.0,0.9,7.1,0.0
2025-03-27 08:00:00,2025-03-27 08:15:00,Apple Health,13.0,0.9,9.2,0.0
2025-03-27 08:15:00,2025-03-27 08:30:00,Apple Health,40.0,1.7,30.5,1.0
2025-03-27 08:30:00,2025-03-27 08:45:00,Apple Health,243.0,13.9,185.5,13.0
2025-03-27 08:45:00,2025-03-27 09:00:00,Apple Health,278.0,9.1,196.8,8.0
2025-03-27 09:00:00,2025-03-27 09:15:00,Apple Health,404.0,16.8,270.9,16.0
2025-03-27 09:15:00,2025-03-27 09:30:00,Apple Health,171.0,10.9,116.2,10.0
2025-03-27 09:30:00,2025-03-27 09:45:00,Apple Health,2.0,4.3,1.6,4.0
2025-03-27 09:45:00,2025-03-27 10:00:00,Apple Health,47.0,5.6,29.5,5.0
2025-03-27 10:00:00,2025-03-27 10:15:00,Apple Health,10.0,5.6,7.1,5.0
2025-03-27 10:15:00,2025-03-27 10:30:00,Apple Health,26.0,5.8,18.7,5.0
2025-03-27 10:30:00,2025-03-27 10:45:00,Apple Health,24.0,2.8,17.7,2.0
2025-03-27 11:15:00,2025-03-27 11:30:00,Apple Health,762.0,25.3,522.6,24.0
2025-03-27 11:30:00,2025-03-27 11:45:00,Apple Health,70.0,7.5,47.9,7.0
2025-03-27 11:45:00,2025-03-27 12:00:00,Apple Health,130.0,8.3,86.5,8.0
2025-03-27 12:00:00,2025-03-27 12:15:00,Apple Health,981.0,42.4,643.1,41.0
2025-03-27 12:15:00,2025-03-27 12:30:00,Apple Health,134.0,10.4,87.8,10.0
2025-03-27 12:30:00,2025-03-27 12:45:00,Apple Health,1.0,3.5,0.7,3.0
2025-03-27 12:45:00,2025-03-27 13:00:00,Apple Health,112.0,8.2,79.9,8.0
2025-03-27 13:15:00,2025-03-27 13:30:00,Apple Health,104.0,8.9,70.9,8.0
2025-03-27 13:45:00,2025-03-27 14:00:00,Apple Health,30.0,6.9,21.3,6.0
2025-03-27 14:00:00,2025-03-27 14:15:00,Apple Health,12.0,6.8,8.0,6.0
2025-03-27 14:30:00,2025-03-27 14:45:00,Apple Health,104.0,8.3,72.8,8.0
2025-03-27 14:45:00,2025-03-27 15:00:00,Apple Health,154.0,10.9,105.3,10.0
2025-03-27 15:00:00,2025-03-27 15:15:00,Apple Health,6.0,5.5,4.0,5.0
2025-03-27 15:15:00,2025-03-27 15:30:00,Apple Health,77.0,5.3,53.0,5.0
2025-03-27 15:30:00,2025-03-27 15:45:00,Apple Health,16.0,3.8,10.5,3.0
2025-03-27 15:45:00,2025-03-27 16:00:00,Apple Health,24.0,4.9,16.3,4.0
2025-03-27 16:00:00,2025-03-27 16:15:00,Apple Health,13.0,7.1,10.7,6.0
2025-03-27 16:15:00,2025-03-27 16:30:00,Apple Health,32.0,7.3,26.8,7.0
2025-03-27 16:30:00,2025-03-27 16:45:00,Apple Health,58.0,4.9,38.6,4.0
2025-03-27 17:00:00,2025-03-27 17:15:00,Apple Health,8.0,3.2,5.7,3.0
2025-03-27 17:30:00,2025-03-27 17:45:00,Apple Health,11.0,3.9,7.8,3.0
2025-03-27 17:45:00,2025-03-27 18:00:00,Apple Health,48.0,3.9,32.6,3.0
2025-03-27 18:00:00,2025-03-27 18:15:00,Apple Health,300.0,14.8,208.0,14.0
2025-03-27 18:15:00,2025-03-27 18:30:00,Apple Health,312.0,16.1,210.2,15.0
2025-03-27 18:30:00,2025-03-27 18:45:00,Apple Health,11.0,8.9,8.3,8.0
2025-03-27 18:45:00,2025-03-27 19:00:00,Apple Health,128.0,13.5,91.1,13.0
2025-03-27 19:00:00,2025-03-27 19:15:00,Apple Health,11.0,14.6,5.2,14.0
2025-03-27 19:15:00,2025-03-27 19:30:00,Apple Health,47.0,12.8,37.7,12.0
2025-03-27 19:30:00,2025-03-27 19:45:00,Apple Health,23.0,11.3,17.8,11.0
2025-03-27 19:45:00,2025-03-27 20:00:00,Apple Health,4.0,12.4,3.1,12.0
2025-03-27 20:00:00,2025-03-27 20:15:00,Apple Health,41.0,12.5,31.3,12.0
2025-03-27 20:15:00,2025-03-27 20:30:00,Apple Health,82.0,18.0,61.3,17.0
2025-03-27 20:30:00,2025-03-27 20:45:00,Apple Health,176.0,21.8,143.1,21.0
2025-03-27 20:45:00,2025-03-27 21:00:00,Apple Health,19.0,12.4,13.6,12.0
2025-03-27 21:00:00,2025-03-27 21:15:00,Apple Health,126.0,17.6,95.8,17.0
2025-03-27 21:15:00,2025-03-27 21:30:00,Apple Health,34.0,13.7,25.8,13.0
2025-03-27 21:30:00,2025-03-27 21:45:00,Apple Health,133.0,14.5,103.6,14.0
2025-03-27 21:45:00,2025-03-27 22:00:00,Apple Health,48.0,9.4,34.4,9.0
2025-03-27 22:00:00,2025-03-27 22:15:00,Apple Health,241.0,13.1,189.5,12.0
2025-03-27 22:15:00,2025-03-27 22:30:00,Apple Health,588.0,31.8,411.6,31.0
2025-03-27 22:30:00,2025-03-27 22:45:00,Apple Health,10.0,13.4,7.3,13.0
2025-03-27 22:45:00,2025-03-27 23:00:00,Apple Health,47.0,10.4,34.1,10.0
2025-03-27 23:15:00,2025-03-27 23:30:00,Apple Health,13.0,7.5,10.1,7.0
2025-03-28 00:30:00,2025-03-28 00:45:00,Apple Health,94.0,7.2,69.0,7.0
2025-03-28 00:45:00,2025-03-28 01:00:00,Apple Health,432.0,11.0,297.9,10.0
2025-03-28 01:00:00,2025-03-28 01:15:00,Apple Health,97.0,10.7,73.7,10.0
2025-03-28 06:30:00,2025-03-28 06:45:00,Apple Health,6.0,0.8,2.7,0.0
2025-03-28 06:45:00,2025-03-28 07:00:00,Apple Health,53.0,7.8,34.9,7.0
2025-03-28 10:45:00,2025-03-28 11:00:00,Apple Health,130.0,11.9,95.4,11.0
2025-03-28 11:30:00,2025-03-28 11:45:00,Apple Health,4.0,3.6,2.8,3.0
2025-03-28 11:45:00,2025-03-28 12:00:00,Apple Health,15.0,5.8,10.8,5.0
2025-03-28 12:00:00,2025-03-28 12:15:00,Apple Health,25.0,8.4,16.1,8.0
2025-03-28 12:30:00,2025-03-28 12:45:00,Apple Health,65.0,7.4,45.9,7.0
2025-03-28 12:45:00,2025-03-28 13:00:00,Apple Health,9.0,2.2,6.4,2.0
2025-03-28 13:00:00,2025-03-28 13:15:00,Apple Health,12.0,3.8,9.2,3.0
2025-03-28 13:15:00,2025-03-28 13:30:00,Apple Health,16.0,3.5,10.2,3.0
2025-03-28 13:30:00,2025-03-28 13:45:00,Apple Health,49.0,4.4,35.1,4.0
2025-03-28 15:15:00,2025-03-28 15:30:00,Apple Health,18.0,3.4,14.2,3.0
2025-03-28 15:30:00,2025-03-28 15:45:00,Apple Health,36.0,3.5,25.2,3.0
2025-03-28 15:45:00,2025-03-28 16:00:00,Apple Health,7.0,3.9,5.2,3.0
2025-03-28 16:00:00,2025-03-28 16:15:00,Apple Health,40.0,6.6,30.1,6.0
2025-03-28 16:15:00,2025-03-28 16:30:00,Apple Health,4.0,3.3,2.6,3.0
2025-03-28 16:45:00,2025-03-28 17:00:00,Apple Health,34.0,4.9,24.0,4.0
2025-03-28 17:45:00,2025-03-28 18:00:00,Apple Health,14.0,2.0,9.2,1.0
2025-03-28 18:00:00,2025-03-28 18:15:00,Apple Health,25.0,3.1,18.5,3.0
2025-03-28 18:30:00,2025-03-28 18:45:00,Apple Health,7.0,1.0,5.8,1.0
2025-03-28 19:15:00,2025-03-28 19:30:00,Apple Health,5.0,2.5,3.8,2.0
2025-03-28 20:00:00,2025-03-28 20:15:00,Apple Health,31.0,5.2,22.2,5.0
2025-03-28 20:15:00,2025-03-28 20:30:00,Apple Health,70.0,7.8,50.7,7.0
2025-03-28 20:30:00,2025-03-28 20:45:00,Apple Health,29.0,8.5,21.6,8.0
2025-03-28 20:45:00,2025-03-28 21:00:00,Apple Health,17.0,4.1,12.6,4.0
2025-03-28 22:45:00,2025-03-28 23:00:00,Apple Health,4.0,2.3,2.8,2.0
2025-03-29 00:00:00,2025-03-29 00:15:00,Apple Health,27.0,1.8,20.2,1.0
2025-03-29 09:30:00,2025-03-29 09:45:00,Apple Health,20.0,0.6,13.4,0.0
2025-03-29 10:15:00,2025-03-29 10:30:00,Apple Health,108.0,6.8,75.8,6.0
2025-03-29 10:30:00,2025-03-29 10:45:00,Apple Health,2.0,3.4,1.4,3.0
2025-03-29 10:45:00,2025-03-29 11:00:00,Apple Health,9.0,2.9,6.4,2.0
2025-03-29 11:15:00,2025-03-29 11:30:00,Apple Health,4.0,8.7,3.1,8.0
2025-03-29 11:30:00,2025-03-29 11:45:00,Apple Health,24.0,9.7,17.0,9.0
2025-03-29 12:45:00,2025-03-29 13:00:00,Apple Health,294.0,22.0,221.5,21.0
2025-03-29 13:00:00,2025-03-29 13:15:00,Apple Health,23.0,0.9,17.3,0.0
2025-03-29 13:15:00,2025-03-29 13:30:00,Apple Health,2.0,3.6,2.2,3.0
2025-03-29 14:15:00,2025-03-29 14:30:00,Apple Health,10.0,3.5,7.1,3.0
2025-03-29 14:45:00,2025-03-29 15:00:00,Apple Health,55.0,6.0,36.2,5.0
2025-03-29 15:15:00,2025-03-29 15:30:00,Apple Health,30.0,4.8,20.2,4.0
2025-03-29 16:15:00,2025-03-29 16:30:00,Apple Health,33.0,2.5,23.2,2.0
2025-03-29 17:30:00,2025-03-29 17:45:00,Apple Health,73.0,4.1,52.7,4.0
2025-03-29 17:45:00,2025-03-29 18:00:00,Apple Health,1.0,1.3,0.7,1.0
2025-03-29 18:15:00,2025-03-29 18:30:00,Apple Health,8.0,3.2,6.2,3.0
2025-03-29 19:30:00,2025-03-29 19:45:00,Apple Health,29.0,7.9,18.0,7.0
2025-03-29 20:00:00,2025-03-29 20:15:00,Apple Health,28.0,4.2,19.4,4.0
2025-03-29 20:30:00,2025-03-29 20:45:00,Apple Health,43.0,6.0,27.7,5.0
2025-03-29 20:45:00,2025-03-29 21:00:00,Apple Health,18.0,3.0,13.1,2.0
2025-03-29 22:00:00,2025-03-29 22:15:00,Apple Health,9.0,3.9,6.7,3.0
2025-03-29 22:15:00,2025-03-29 22:30:00,Apple Health,18.0,2.5,13.7,2.0
2025-03-29 22:45:00,2025-03-29 23:00:00,Apple Health,8.0,3.0,5.7,2.0
2025-03-29 23:15:00,2025-03-29 23:30:00,Apple Health,20.0,4.0,20.2,3.0
2025-03-29 23:45:00,2025-03-30 00:00:00,Apple Health,34.0,6.2,26.0,6.0
2025-03-30 00:00:00,2025-03-30 00:15:00,Apple Health,2.0,5.1,1.4,5.0
2025-03-30 00:45:00,2025-03-30 01:00:00,Apple Health,25.0,0.1,18.1,0.0
2025-03-30 01:15:00,2025-03-30 01:30:00,Apple Health,4.0,0.4,2.3,0.0
2025-03-30 01:45:00,2025-03-30 02:00:00,Apple Health,25.0,5.4,19.3,5.0
2025-03-30 04:00:00,2025-03-30 04:15:00,Apple Health,16.0,0.4,12.2,0.0
2025-03-30 04:30:00,2025-03-30 04:45:00,Apple Health,1.0,3.1,0.7,3.0
2025-03-30 06:45:00,2025-03-30 07:00:00,Apple Health,8.0,1.5,5.7,1.0
2025-03-30 09:15:00,2025-03-30 09:30:00,Apple Health,7.0,1.1,4.9,1.0
2025-03-30 10:15:00,2025-03-30 10:30:00,Apple Health,100.0,6.7,76.7,6.0
2025-03-30 10:30:00,2025-03-30 10:45:00,Apple Health,22.0,5.1,15.1,5.0
2025-03-30 11:00:00,2025-03-30 11:15:00,Apple Health,13.0,2.1,8.9,2.0
2025-03-30 11:45:00,2025-03-30 12:00:00,Apple Health,36.0,7.2,23.3,7.0
2025-03-30 12:30:00,2025-03-30 12:45:00,Apple Health,10.0,4.3,6.9,4.0
2025-03-30 14:45:00,2025-03-30 15:00:00,Apple Health,31.0,5.0,22.0,4.0
2025-03-30 15:00:00,2025-03-30 15:15:00,Apple Health,29.0,2.7,21.5,2.0
2025-03-30 15:15:00,2025-03-30 15:30:00,Apple Health,20.0,3.7,13.3,3.0
2025-03-30 15:30:00,2025-03-30 15:45:00,Apple Health,4.0,2.0,2.8,2.0
2025-03-30 16:15:00,2025-03-30 16:30:00,Apple Health,40.0,9.4,28.1,9.0
2025-03-30 17:30:00,2025-03-30 17:45:00,Apple Health,8.0,3.9,5.3,3.0
2025-03-30 17:45:00,2025-03-30 18:00:00,Apple Health,40.0,2.8,26.8,2.0
2025-03-30 18:00:00,2025-03-30 18:15:00,Apple Health,11.0,1.6,7.8,1.0
2025-03-30 18:30:00,2025-03-30 18:45:00,Apple Health,78.0,6.8,59.8,6.0
2025-03-30 18:45:00,2025-03-30 19:00:00,Apple Health,21.0,2.3,12.7,2.0
2025-03-30 19:00:00,2025-03-30 19:15:00,Apple Health,10.0,2.5,7.4,2.0
2025-03-30 19:15:00,2025-03-30 19:30:00,Apple Health,10.0,3.2,7.4,3.0
2025-03-30 19:30:00,2025-03-30 19:45:00,Apple Health,8.0,6.4,6.0,6.0
2025-03-30 21:15:00,2025-03-30 21:30:00,Apple Health,69.0,9.3,50.1,9.0
2025-03-30 21:30:00,2025-03-30 21:45:00,Apple Health,13.0,8.2,10.1,8.0
2025-03-30 21:45:00,2025-03-30 22:00:00,Apple Health,21.0,2.4,16.7,2.0
2025-03-30 23:15:00,2025-03-30 23:30:00,Apple Health,121.0,3.9,81.7,3.0
2025-03-31 06:15:00,2025-03-31 06:30:00,Apple Health,14.0,2.4,10.8,2.0
2025-03-31 06:30:00,2025-03-31 06:45:00,Apple Health,207.0,10.6,160.0,10.0
2025-03-31 07:00:00,2025-03-31 07:15:00,Apple Health,351.0,11.6,260.7,11.0
2025-03-31 07:45:00,2025-03-31 08:00:00,Apple Health,50.0,3.2,38.6,3.0
2025-03-31 08:30:00,2025-03-31 08:45:00,Apple Health,50.0,4.3,38.9,4.0
2025-03-31 09:45:00,2025-03-31 10:00:00,Apple Health,27.0,5.4,19.7,5.0
2025-03-31 10:15:00,2025-03-31 10:30:00,Apple Health,16.0,4.0,11.9,3.0
2025-03-31 10:30:00,2025-03-31 10:45:00,Apple Health,79.0,4.9,54.3,4.0
2025-03-31 10:45:00,2025-03-31 11:00:00,Apple Health,116.0,5.5,83.2,5.0
2025-03-31 11:15:00,2025-03-31 11:30:00,Apple Health,743.0,26.1,501.4,25.0
2025-03-31 11:30:00,2025-03-31 11:45:00,Apple Health,21.0,6.8,14.1,6.0
2025-03-31 12:00:00,2025-03-31 12:15:00,Apple Health,394.0,14.9,211.8,14.0
2025-03-31 12:15:00,2025-03-31 12:30:00,Apple Health,559.0,24.3,447.8,23.0
2025-03-31 12:30:00,2025-03-31 12:45:00,Apple Health,87.0,5.0,53.6,4.0
2025-03-31 13:00:00,2025-03-31 13:15:00,Apple Health,3.0,3.7,2.1,3.0
2025-03-31 14:30:00,2025-03-31 14:45:00,Apple Health,16.0,4.2,12.3,4.0
2025-03-31 15:15:00,2025-03-31 15:30:00,Apple Health,16.0,5.0,11.3,4.0
2025-03-31 15:45:00,2025-03-31 16:00:00,Apple Health,227.0,10.7,152.4,10.0
2025-03-31 16:15:00,2025-03-31 16:30:00,Apple Health,47.0,5.6,34.6,5.0
2025-03-31 17:15:00,2025-03-31 17:30:00,Apple Health,11.0,3.4,7.8,3.0
2025-03-31 19:30:00,2025-03-31 19:45:00,Apple Health,177.0,10.8,129.7,10.0
2025-03-31 19:45:00,2025-03-31 20:00:00,Apple Health,353.0,18.8,243.6,18.0
2025-03-31 20:00:00,2025-03-31 20:15:00,Apple Health,82.0,12.3,56.4,12.0
2025-03-31 20:30:00,2025-03-31 20:45:00,Apple Health,8.0,11.5,5.3,11.0
2025-03-31 20:45:00,2025-03-31 21:00:00,Apple Health,30.0,13.7,23.0,13.0
2025-03-31 21:30:00,2025-03-31 21:45:00,Apple Health,152.0,14.8,106.6,14.0
2025-03-31 21:45:00,2025-03-31 22:00:00,Apple Health,11.0,8.4,7.8,8.0
2025-03-31 22:00:00,2025-03-31 22:15:00,Apple Health,12.0,8.6,9.1,8.0
2025-03-31 23:00:00,2025-03-31 23:15:00,Apple Health,253.0,15.9,188.0,15.0
2025-04-01 00:15:00,2025-04-01 00:30:00,Apple Health,10.0,6.6,7.2,6.0
2025-04-01 00:30:00,2025-04-01 00:45:00,Apple Health,22.0,9.5,15.5,9.0
2025-04-01 00:45:00,2025-04-01 01:00:00,Apple Health,9.0,6.9,6.1,6.0
2025-04-01 01:00:00,2025-04-01 01:15:00,Apple Health,162.0,13.1,115.6,12.0
2025-04-01 01:15:00,2025-04-01 01:30:00,Apple Health,284.0,22.6,214.1,22.0
2025-04-01 02:00:00,2025-04-01 02:15:00,Apple Health,16.0,8.2,11.3,8.0
2025-04-01 02:15:00,2025-04-01 02:30:00,Apple Health,44.0,6.6,30.3,6.0
2025-04-01 02:30:00,2025-04-01 02:45:00,Apple Health,121.0,0.0,14.8,0.0
2025-04-01 02:45:00,2025-04-01 03:00:00,Apple Health,208.0,11.8,210.2,11.0
2025-04-01 03:00:00,2025-04-01 03:15:00,Apple Health,60.0,0.0,43.1,0.0
