Time,Weight,Unit,Comments
2015-06-26 11:55:05,87.0,kg,
2015-07-28 18:26:13,87.0,kg,
2015-08-01 17:21:39,87.0,kg,
2015-09-04 17:01:27,87.0,kg,
2015-10-19 12:20:51,87.0,kg,
2017-11-27 16:49:43,90.0,kg,
2017-11-27 16:49:49,90.0,kg,
2020-03-23 11:39:39,96.0,kg,
2021-08-13 11:59:31,92.0,kg,
2021-08-14 08:40:47,93.9,kg,
2021-08-14 08:40:56,93.6,kg,
2021-08-14 08:41:14,93.9,kg,
2021-08-14 08:41:54,93.8,kg,
2021-08-14 08:42:12,93.6,kg,
2021-08-14 08:44:59,92.1,kg,
2021-08-14 08:45:25,91.9,kg,
2021-08-14 08:45:51,91.9,kg,
2021-08-14 08:47:03,91.9,kg,
2021-08-15 10:27:42,91.5,kg,
2021-08-15 10:27:43,91.5,kg,
2021-08-15 10:27:57,91.8,kg,
2021-08-16 09:41:06,91.2,kg,
2021-08-17 08:44:09,91.1,kg,
2021-08-18 08:46:57,90.8,kg,
2021-08-19 09:04:00,91.0,kg,
2021-08-19 09:04:16,90.9,kg,
2021-08-19 09:04:45,91.1,kg,
2021-08-19 09:05:05,91.1,kg,
2021-08-19 09:22:28,90.8,kg,
2021-08-20 09:16:50,90.8,kg,
2021-08-21 10:00:22,90.8,kg,
2021-08-21 10:00:30,90.7,kg,
2021-08-21 10:01:09,90.7,kg,
2021-08-21 20:56:32,90.9,kg,
2021-08-22 09:57:32,90.6,kg,
2021-08-22 17:42:47,89.7,kg,
2021-08-23 08:59:38,90.3,kg,
2021-08-24 08:52:29,89.9,kg,
2021-08-24 08:53:11,89.9,kg,
2021-08-24 09:30:08,89.9,kg,
2021-08-24 22:43:33,89.7,kg,
2021-08-24 22:49:58,89.6,kg,
2021-08-24 23:11:38,89.8,kg,
2021-08-25 08:03:00,89.8,kg,
2021-08-25 08:11:36,89.6,kg,
2021-08-26 08:44:06,89.6,kg,
2021-08-26 19:59:56,88.9,kg,
2021-08-28 15:21:48,89.7,kg,
2021-08-28 15:22:18,89.5,kg,
2021-08-28 15:22:19,89.5,kg,
2021-08-28 22:15:01,89.0,kg,
2021-08-29 12:46:30,89.0,kg,
2021-08-30 09:10:58,88.8,kg,
2021-08-31 00:09:39,88.7,kg,
2021-08-31 08:54:15,88.7,kg,
2021-09-01 08:59:02,88.6,kg,
2021-09-01 08:59:24,88.6,kg,
2021-09-01 09:28:12,88.2,kg,
2021-09-02 09:27:29,88.4,kg,
2021-09-03 09:58:13,88.1,kg,
2021-09-04 23:29:22,87.5,kg,
